country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Myanmar,,278,281,302,300,297,305,309,337,362,370,371,371,385,521,705,822,891,936,992,1060,1140,1240,1310,1340,1400,1450,1560,1760,2480,3140,3650,4950,7080,9660,12.3k,15.9k,21.7k,30.6k,42.2k,51.3k,61.9k,89.3k,130k,163k,195k,272k,383k,503k,605k,712k,836k,937k,1.04M,1.16M,1.29M,1.38M,1.54M,1.71M,1.92M,2.05M,1.75M,1.99M
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,2240,2360,2610,2860,2990,3590,4420,5100,4850,5010,5310,5210,5520,5630,6000,6410,7050,7580,8050,6840,8170,9600
Mongolia,,,,,,,,,,,,,,,,,,,,,,3970,4260,4430,4400,4460,4410,4470,4590,4650,5820,10.3k,24.6k,96.8k,163k,274k,310k,388k,393k,445k,497k,562k,620k,722k,925k,1.16M,1.54M,1.86M,2.41M,2.37M,3.32M,4.41M,5.51M,6.36M,7.03M,7.08M,7.25M,7.78M,9.33M,10.4M,10.3M,11.1M,13.6M
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,456,708,1080,1610,2640,3190,3600,4310,4680,5880,6430,7610,8550,9340,10.5k,12k,13.3k,14.3k,15.8k,17.3k,18.9k,20.2k,21.1k,23.3k,26.6k,28.6k,29.8k,31.2k,30.9k,31.5k,33.2k
Mauritania,,912,915,911,1180,1310,1320,1360,1410,1340,1480,1540,1590,1760,2180,2230,2400,2490,2520,2890,3110,3280,3440,3670,3900,4230,4620,5060,5300,5910,5820,8220,8500,9610,9980,11k,12.2k,12.8k,15.2k,16.1k,15.9k,15.9k,17.7k,19.2k,21.9k,26.5k,33.5k,35.1k,38.2k,37.6k,44.9k,52.7k,53.3k,56.5k,49.9k,49.3k,54.6k,57.7k,62.1k,66.7k,68.6k,77k,79.7k
Mauritius,,,,,,,,,,,,,,,,,5230,5890,6650,7930,8820,10000,11.3k,12.3k,13.6k,15.6k,18.4k,22.9k,26.9k,31.4k,36.9k,41.9k,46.4k,52.5k,57k,62.3k,69.3k,76.5k,85.7k,92.7k,103k,113k,121k,133k,148k,156k,181k,211k,232k,233k,249k,265k,280k,303k,319k,336k,352k,378k,401k,414k,361k,383k,461k
Malawi,,,,,,,,,,,,,,,,,,,,,233,247,267,296,339,371,405,458,588,696,783,914,933,1290,1480,3070,4930,6060,3960,8110,11.9k,13k,29.3k,34.2k,40.7k,46.3k,57.4k,65.4k,76.7k,85k,96.3k,113k,132k,173k,217k,259k,325k,357k,385k,426k,456k,499k,601k
Malaysia,717,698,719,876,901,965,1000,1010,1030,1090,1130,1190,1280,1630,1930,1860,2270,2540,2880,3440,3890,4100,4290,4620,5050,4760,4290,4750,5280,5840,6510,7120,7700,8610,9500,10.5k,11.7k,12.6k,12.3k,12.5k,14.3k,13.9k,14.8k,16k,17.7k,20k,21.9k,24k,27k,24.8k,27.7k,30.5k,31.5k,32.7k,35k,36.8k,38.5k,41.7k,43.3k,44.9k,41.9k,44.8k,50.8k
Namibia,,,,,,,,,,,,,,,,,,,,,1660,1900,2130,2390,2550,2720,3180,3850,4230,4920,5370,6070,6760,7090,8400,9260,10.5k,11.3k,12.5k,13.1k,15k,16.4k,18.9k,20.4k,22.3k,23.2k,27k,30k,33.8k,35.7k,37.8k,41.1k,47.3k,53.1k,59.8k,63.9k,66.5k,71.2k,72.5k,72.2k,69.7k,71k,78k
New Caledonia,118k,130k,109k,118k,167k,158k,158k,167k,194k,239k,324k,347k,370k,342k,426k,480k,518k,550k,505k,585k,649k,674k,742k,768k,834k,904k,961k,1.01M,1.37M,1.52M,1.47M,1.55M,1.57M,1.58M,1.62M,1.7M,1.7M,1.73M,1.65M,1.64M,1.63M,,,,,,,,,,,,,,,,,,,,,,
Niger,31.6k,33.2k,35.2k,37.4k,36.1k,40.6k,41.3k,37.8k,35.9k,35.7k,38.4k,39.7k,37.9k,41.7k,47.2k,41.7k,46.2k,56.2k,67.8k,72.9k,84.7k,89.7k,97.4k,99.2k,88.1k,87.4k,88.2k,85.5k,84.6k,86.4k,115k,108k,101k,94.7k,114k,118k,124k,130k,149k,145k,143k,156k,163k,160k,157k,177k,184k,195k,222k,227k,246k,254k,277k,281k,289k,298k,304k,310k,330k,337k,311k,334k,335k
Nigeria,66.4,69.3,74.4,76.2,79.6,80.9,85.6,70.1,67.7,84.4,155,169,175,191,309,357,432,499,523,603,656,1840,1910,1990,2020,2220,2250,2650,3460,4260,4920,5740,8490,11.2k,15.6k,27.2k,35.2k,37.2k,39k,44.7k,52.4k,61.7k,83.1k,94.4k,123k,152k,206k,224k,250k,264k,321k,360k,405k,441k,486k,504k,532k,576k,621k,693k,713k,793k,893k
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10µ,20µ,0.00014,0.0138,0.586,36.2,1300,1470,1790,4920,6010,6980,7960,9470,10.9k,12.2k,13.2k,13.6k,14.5k,16.6k,18.9k,20.8k,23.8k,28.2k,28.4k,31.1k,35.9k,39.5k,42.2k,47.8k,53.1k,56.7k,60.6k,59.4k,60.8k,60.3k,68k,75.1k
Netherlands,1850,1920,2050,2190,2540,2870,3080,3340,3660,4440,4800,5350,5950,6810,7670,8310,9460,10.2k,10.9k,11.6k,12.3k,12.8k,13.1k,13.6k,14.4k,14.6k,15k,15.2k,15.7k,16.5k,17.1k,18k,18.6k,19.1k,20.1k,21.2k,22.2k,23.6k,24.7k,26.4k,28.2k,29.3k,30.2k,31.2k,32k,33.2k,35.5k,37.4k,37.5k,36.4k,38.1k,38.8k,38.5k,39k,39.4k,40.3k,40.6k,42.6k,44.7k,45.9k,44.2k,47.7k,51k
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31k,31.7k,32.8k,34.7k,34.4k,35.4k,34.7k,36k,35.9k,35.8k,35.5k,34.7k,34.9k,35.1k,35.6k,30.2k,33k,
Norway,10.3k,11.2k,12k,12.7k,13.9k,15.2k,16.3k,17.6k,18.7k,20.2k,23.4k,26.2k,28.8k,32.5k,37.3k,42.4k,47.9k,53.4k,58.3k,63.8k,75.6k,86.4k,95.2k,106k,119k,133k,137k,150k,154k,163k,172k,180k,186k,194k,203k,218k,238k,256k,260k,281k,331k,347k,346k,358k,390k,437k,478k,500k,548k,508k,539k,573k,599k,615k,635k,628k,621k,653k,701k,693k,670k,797k,1.05M
Nepal,381,391,414,428,457,499,602,548,599,653,701,700,794,748,940,1190,1230,1190,1330,1460,1510,1720,1910,2030,2330,2660,3110,3480,4100,4670,5290,6170,7410,8280,9170,9840,10.9k,12.1k,12.7k,14.2k,15.5k,17.8k,18.1k,19.1k,20.6k,22.5k,24.9k,27.5k,30.6k,37k,44.2k,57.5k,64.8k,71.7k,82.5k,89k,94.8k,110k,122k,135k,134k,146k,162k
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,4610,6930,6360,7970,11.3k,10.8k,12.1k,12.5k,16k,17.3k,19k,20.4k,22.7k,25k,24.8k
New Zealand,,,,,,,,,,,2040,2370,2670,3060,3300,3610,4350,4870,5490,6490,7540,9130,10.2k,11.1k,12.2k,14k,16.9k,18.8k,20.4k,21.5k,21.9k,20.3k,20.7k,22k,23.3k,24.6k,25.1k,26.1k,26.7k,27.8k,29.3k,31.5k,32.5k,34.2k,35.7k,36.9k,38.3k,41k,41.2k,43.3k,44.4k,46.4k,47.3k,50.3k,51.6k,53.6k,55.7k,58.1k,60.2k,63.4k,63.1k,68.8k,73.8k
Oman,29.4,29.8,36.1,37.6,38,38.1,39.8,56.6,93.4,117,132,153,158,146,620,790,983,1030,994,1290,1940,2250,2250,2220,2330,2470,1920,1940,1910,2050,2420,2260,2330,2250,2250,2370,2570,2620,2280,2480,3060,3010,3070,3340,3800,4600,5490,6090,8430,6480,8190,8800,9020,8730,8480,7010,6390,6580,7230,6860,5980,6990,8980
Pakistan,388,416,426,446,489,542,585,646,677,711,798,829,862,1040,1320,1620,1840,2040,2330,2490,2870,3270,3650,3940,4400,4780,5010,5380,6120,6740,7240,8340,9640,10.4k,11.8k,13.6k,15k,16.6k,17.7k,19.1k,26.8k,28.3k,29.3k,31.4k,35.6k,40.1k,45.2k,49.6k,55.9k,67.6k,75k,90.7k,97.7k,107k,119k,128k,151k,162k,176k,193k,205k,238k,280k
Panama,423,462,490,528,554,581,615,661,690,738,795,872,932,1040,1150,1270,1290,1520,1770,1960,2160,2350,2660,2780,2740,2910,2840,3050,2480,2360,2520,2650,2990,3260,3440,3350,3470,3630,3830,3890,3910,3890,4080,4050,4310,4600,5000,5840,6770,7210,7490,8880,10k,11.2k,11.7k,12.8k,13.4k,14.3k,15.1k,15.5k,12.8k,14.4k,16.4k
Peru,10µ,10µ,10µ,10µ,10µ,10µ,10µ,10µ,20µ,20µ,20µ,20µ,20µ,30µ,30µ,40µ,50µ,70µ,0.00011,0.0002,0.00029,0.00049,0.00079,0.00141,0.00297,0.00793,0.0141,0.0283,0.165,3.89,232,1150,1890,2850,3950,4710,5280,5940,6190,6360,6620,6650,6900,7160,7760,8360,9400,10.3k,11.4k,11.8k,13.2k,14.9k,16k,17.2k,17.9k,19k,19.9k,20.8k,21.6k,22.4k,20.6k,23.7k,25.6k
Philippines,525,559,610,691,727,773,829,868,936,1010,1170,1390,1510,1890,2550,2860,3270,3670,4110,4850,5650,6360,6900,7850,10.7k,11.4k,11.9k,13.1k,15.1k,17k,19.7k,22.5k,24.1k,25.8k,29.3k,32.3k,36.2k,40k,46.6k,49.8k,51.9k,55.4k,58.6k,62.2k,68.8k,75.3k,81.4k,87.6k,96.5k,101k,110k,117k,125k,135k,145k,151k,160k,172k,186k,195k,172k,177k,202k
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290,8910,9260,8490,8930,10.4k,10.8k,11.4k,11.6k,10.8k,10.9k,11.7k,12.8k,13.5k,14.6k,17k,18.2k,17k,17.1k,16.6k,14.3k,12.4k,
Papua New Guinea,103,106,111,115,124,137,153,169,181,200,225,236,261,321,347,351,406,436,457,524,537,512,513,612,658,677,710,757,828,779,765,874,928,1040,1150,1260,1290,1330,1410,1520,1660,1680,1830,1830,1820,2160,3430,3780,4170,4030,4730,4940,5240,5320,6630,6800,7230,7800,8290,8420,8370,8890,10.2k
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,2290,3200,4360,6380,8820,11.1k,13.4k,15.6k,17.3k,19.5k,20.4k,21.2k,22k,23.7k,25.4k,27.3k,30.1k,33k,34.8k,36.5k,39.4k,40.8k,41.3k,43k,45.6k,46.9k,50k,53.6k,57.8k,59.3k,66.2k,78k
Puerto Rico,711,764,836,907,974,1070,1150,1250,1380,1550,1720,1900,2050,2190,2320,2400,2480,2650,2870,3170,3450,3770,3870,3940,4240,4440,4710,5030,5380,5720,6110,6400,6610,6950,7300,7730,8150,8600,9290,10.1k,10.9k,11.5k,11.8k,12.4k,13.5k,14.4k,15.2k,16k,16.7k,17k,17.3k,17.9k,18.7k,19.2k,19.5k,20k,20.5k,20.8k,21.2k,22.2k,21.4k,22.4k,24.2k
Portugal,50.9,54,57.5,61,66.6,74.7,82.1,92.6,103,114,135,152,177,216,257,272,326,430,531,661,824,961,1160,1440,1740,2180,2790,3310,3990,4720,5600,6470,7330,7700,8290,8950,9430,10.1k,10.9k,11.7k,12.3k,12.9k,13.5k,13.8k,14.3k,14.9k,15.4k,16.2k,16.4k,16k,16.4k,16.4k,15.6k,16.1k,16.3k,16.9k,17.6k,18.6k,19.5k,20.3k,19.2k,20.5k,22.7k
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48M,4.06M,4.13M,4.71M,5.03M,5.27M,5.97M,7.13M,7.85M,9.2M,10.6M,12.3M,15.2M,18.1M,18.4M,21.2M,23.2M,23.8M,26.5M,28.4M,29.3M,31.5M,33.3M,34.5M,35.1M,35M,39M,41.8M
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1500,1480,1580,1720,1760,1650,1440,1230,1340,1490,1650,1690,1820,2220,2340,2720,3070,3280,3600,3710,3670,3960,4100,4170,4300,3750,4420,4580
French Polynesia,60.6k,66k,67.5k,78k,116k,161k,189k,187k,212k,202k,218k,245k,237k,267k,359k,385k,441k,476k,537k,593k,620k,722k,847k,994k,1.15M,1.26M,1.45M,1.49M,1.46M,1.53M,1.56M,1.62M,2.02M,2.04M,2.03M,2.07M,2.08M,2.07M,2.11M,2.15M,2.22M,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,11.6k,12.7k,13.2k,16.8k,51.9k,48.4k,56.7k,55.2k,57.9k,74.9k,110k,114k,94.8k,76.3k,73.9k,66.9k,54k,54.3k,56k,57k,62.5k,56.5k,60.8k,55.2k,55.2k,59.2k,64.1k,76.9k,63.7k,72.8k,92.2k,90.3k,94.3k,112k,138k,166k,207k,223k,273k,200k,238k,312k,334k,337k,324k,238k,211k,216k,236k,223k,186k,240k,309k
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.68,9.59,26.4,87.5,218,333,499,1120,1620,2420,3580,5270,6940,8690,10.9k,13.1k,15.6k,19.7k,25.7k,25.7k,26.4k,28.8k,30.5k,31.1k,33.4k,35.6k,37.7k,42.9k,48.3k,54.1k,54.5k,60.9k,72.2k
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,3.88,4.34,9.4,127,1140,4100,9550,13.4k,15.5k,17k,31.5k,48.5k,60.4k,73.1k,88.5k,116k,147k,183k,228k,281k,263k,314k,408k,461k,491k,523k,552k,567k,609k,690k,723k,718k,906k,1.03M
Rwanda,2010,2000,2000,2010,1990,2220,3160,4500,4700,4990,5650,5540,5490,5680,6480,11.6k,13.2k,14.9k,16.4k,18.9k,20.6k,22.7k,23.3k,24.3k,26.3k,27.6k,26.1k,25.3k,26.2k,26.9k,29k,31.8k,35.3k,35.7k,24.5k,59.9k,62.5k,72.2k,77.7k,89.5k,98.7k,105k,111k,132k,154k,180k,196k,233k,288k,319k,344k,388k,428k,448k,483k,518k,558k,609k,638k,701k,713k,795k,975k
Saudi Arabia,1530,1630,1740,1740,1880,2020,2250,2260,2840,2940,3220,4010,4610,5900,19.4k,19.9k,27.4k,29.9k,29.2k,37.8k,52.4k,57.2k,47.7k,40.2k,35.9k,32.2k,26.8k,25.4k,24.9k,25.6k,28.6k,30.3k,30k,28.4k,27.7k,28.9k,30.6k,31.2k,27.1k,29.2k,33.1k,31.6k,31.6k,35.1k,41.3k,50.9k,56.2k,60k,72.3k,57.6k,68.2k,85.4k,91.6k,91.4k,91.4k,78.6k,76.5k,79.6k,91.5k,88.6k,77.9k,92.2k,115k
Sudan,0.0351,0.0369,0.0389,0.0387,0.0386,0.0392,0.0392,0.0411,0.0417,0.0447,0.0496,0.0525,0.0552,0.0664,0.0823,0.0965,0.116,0.14,0.158,0.178,0.213,0.267,0.363,0.45,0.549,0.743,0.988,1.4,2.46,3.6,5.39,10,22.6,47,124,262,370,595,711,820,923,1170,1330,1520,1820,2220,2450,2910,3160,3090,3660,4920,6080,8160,11.7k,13.1k,15.9k,20.5k,29.6k,43k,86.5k,282k,603k
Senegal,,,,,,,,,77.9k,75.7k,81.2k,81k,87k,85.2k,100k,117k,130k,133k,133k,153k,163k,185k,213k,214k,231k,254k,270k,274k,260k,268k,260k,257k,253k,248k,323k,357k,375k,385k,411k,422k,433k,474k,470k,482k,492k,525k,540k,576k,631k,616k,631k,642k,670k,676k,686k,713k,745k,782k,803k,835k,838k,882k,971k
Singapore,1330,1400,1470,1600,1530,1630,1790,1970,2210,2530,2860,3280,3850,4640,5600,6120,6510,6950,7770,8840,10.2k,11.3k,12.2k,13.8k,15.2k,15.1k,15k,16k,18.5k,20.8k,22.9k,24.7k,26.3k,28.9k,33k,35.6k,36.7k,39.9k,37.1k,37.4k,40.9k,38.6k,38.9k,40.2k,43.8k,47k,52.2k,57.9k,54.5k,53.7k,63.7k,65.5k,66.3k,67.4k,70.4k,71.3k,73.8k,78.6k,79.1k,79.8k,73.1k,87.3k,95.8k
Solomon Islands,,,,,,,,,,,,,128,143,208,191,212,256,273,373,596,683,714,767,821,857,861,998,1150,1200,1640,1780,2210,2670,3610,4200,4650,4850,5310,5440,4920,4910,5070,6740,7460,8650,9310,10k,10.8k,11.4k,12.7k,13.7k,14.6k,16.2k,16.3k,16.6k,16.9k,17.6k,19.2k,19.4k,18.7k,18.1k,18.1k
Sierra Leone,,,,,0.0925,0.102,0.105,0.0967,0.104,0.126,0.128,0.12,0.127,0.157,0.181,0.197,0.207,0.241,0.299,0.346,0.334,0.366,0.449,0.507,0.724,1.13,1.89,5.44,8,12.7,20.3,48.5,70.3,95.8,109,143,193,186,224,260,281,435,500,596,691,820,819,1140,1320,1440,1610,2000,2200,3040,3100,2930,3220,3520,4090,4510,4760,5210,6390
El Salvador,,,,,,274,282,288,291,295,310,317,329,367,409,452,555,685,708,772,774,734,713,720,738,755,735,757,787,806,874,936,1030,1170,1330,1540,1630,1720,1830,1860,1940,2010,2050,2130,2200,2350,2580,2740,2900,2800,2930,3200,3330,3400,3470,3590,3670,3760,3910,4070,3760,4420,4830
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8k,37.4k,38.7k,35.9k,41.8k,
Somalia,448,464,480,498,514,532,546,563,578,590,607,617,743,794,717,1060,1170,1540,1710,1670,2940,3690,4810,5660,9240,12.4k,16.4k,22.3k,37.3k,73.9k,226k,,,,,,,,,,,,,,,,,,,,,,,6.82M,7.59M,8.58M,8.88M,8.67M,9.05M,10.1M,10.7M,11.6M,12.3M
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20k,25.8k,30k,57.8k,116k,146k,172k,203k,243k,286k,331k,385k,411k,436k,480k,512k,553k,561k,580k,606k,634k,689k,738k,774k,882k,997k
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,3170,4630,3140,3390,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4960,6050,7000,8720,11k,12.2k,15.9k,17.1k,20.1k,22.2k,24.9k,29.1k,33.2k,34.8k,37.7k,39.5k,40.8k,43.8k,47.3k,49.8k,56.8k
Suriname,0.586,0.593,0.582,0.496,0.523,0.754,0.92,1.02,1.02,1.03,1.09,1.15,1.24,1.36,1.76,2.31,2.42,3.11,3.66,3.91,4.16,4.79,4.88,4.6,4.52,4.51,4.53,4.92,5.73,6.61,9.37,10.7,14.4,33.9,188,701,772,795,937,1550,2480,3260,4980,6320,7610,9280,13.5k,15.3k,18.3k,19.7k,21.4k,24.6k,28.3k,29.3k,29.9k,30.4k,33.8k,40.7k,45.4k,47.4k,53.6k,83.3k,132k
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3710,4140,4550,4960,5270,5850,6390,6930,7350,8270,9160,10.2k,11.4k,12.5k,11.8k,12.5k,12.8k,13.4k,13.7k,13.9k,14.4k,14.6k,15.3k,16.2k,16.9k,16.9k,17.9k,19.9k
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330,6120,6960,7740,8680,9460,10.6k,11.7k,12.7k,13.6k,14.4k,15.5k,17k,18.3k,17.5k,17.5k,17.8k,17.3k,17.5k,18.1k,18.2k,19.1k,20.4k,21.8k,22.9k,22.2k,24.4k,27.5k
Sweden,10.4k,11.3k,12.2k,13.1k,14.5k,15.8k,17k,18.3k,19.3k,20.8k,24.1k,25.9k,28.3k,31.5k,35.5k,41.5k,46.7k,50.5k,56k,62.7k,71.3k,77.5k,84.3k,94.2k,106k,115k,125k,136k,148k,162k,177k,186k,183k,181k,195k,210k,215k,225k,238k,255k,272k,282k,292k,307k,316k,329k,353k,374k,383k,368k,391k,403k,402k,407k,420k,438k,448k,468k,484k,506k,504k,544k,587k
Eswatini,61.6,74,77,88.9,104,110,122,115,119,152,157,195,216,277,317,,,,,,,,,,,,,,,,3560,3800,4220,4820,5220,6770,7660,8630,8990,9810,11.9k,13.6k,14.4k,15.4k,16.8k,19.9k,20.8k,22.8k,24.9k,27.1k,28k,29.7k,33.8k,38k,40.8k,43.9k,46.5k,47.6k,49.6k,49.9k,50.1k,54.1k,60.8k
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1k,45.1k,49.1k,50.4k,50.2k,58.4k,57.3k,56.6k,51.4k,50.7k,60.7k,51.2k,56.5k,
Seychelles,1370,1280,1360,1460,1580,1560,1600,1600,1740,1740,1900,2190,2910,3520,4230,4840,5780,7500,8950,12k,15.3k,15.9k,15.6k,15.9k,16.9k,19k,20k,20.5k,22.3k,25.3k,29.1k,29.1k,32.7k,35.4k,35k,33k,33.8k,38.1k,41.8k,42.4k,43.8k,46.5k,44.1k,46.2k,60.2k,65.6k,71.2k,79.3k,98k,124k,125k,140k,159k,167k,179k,183k,186k,198k,211k,221k,200k,206k,215k
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4k,53.4k,54.2k,55.7k,64.7k,74.1k,82.7k,92k,107k,109k,119k,133k,129k,131k,173k,240k,311k,424k,477k,556k,797k,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6k,24.1k,25.9k,25.7k,26.8k,27.1k,20.9k,23.3k,24.9k
Chad,25.2k,26.3k,27.6k,28.1k,29.1k,30.4k,31.1k,32.1k,31.9k,34.3k,35.6k,37.1k,38.8k,37.1k,39.5k,45.8k,50.2k,54.6k,58.6k,48.4k,49.8k,53.8k,59.2k,64.8k,81k,92.9k,71.7k,65.4k,79.8k,80.1k,80.4k,87.5k,79.1k,62.5k,98.7k,104k,113k,120k,133k,118k,118k,145k,152k,144k,204k,296k,313k,333k,351k,364k,429k,454k,483k,462k,481k,444k,403k,380k,394k,405k,365k,375k,440k
Togo,24.4k,24.9k,25.8k,28k,31.6k,33.5k,38.1k,39.1k,39.3k,44k,42.8k,46.7k,48.5k,50.3k,74.9k,71.2k,77.9k,97.4k,92.1k,91.7k,112k,117k,117k,122k,127k,135k,141k,140k,149k,152k,153k,152k,147k,115k,174k,202k,226k,255k,266k,266k,283k,283k,302k,305k,288k,283k,281k,284k,323k,336k,349k,384k,388k,410k,424k,461k,470k,473k,487k,499k,505k,536k,574k
Thailand,2190,2330,2440,2530,2690,2950,3440,3580,3750,4010,4120,4160,4480,5690,6990,7410,8250,9390,11.1k,12.3k,14.4k,16k,17.4k,18.8k,19.7k,20.5k,21.6k,24.3k,28.7k,33.7k,39k,44k,48.8k,55.5k,61.8k,69.6k,75.1k,74.9k,73.2k,74.4k,78.8k,81.6k,86.7k,93.5k,102k,110k,122k,131k,139k,137k,152k,161k,170k,174k,179k,185k,197k,209k,219k,228k,214k,218k,235k
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128,0.0124,0.0125,0.0135,0.0131,0.0135,0.0243,0.114,1.24,2.99,11.3,47.4,82.5,162,211,273,381,499,681,882,1200,1620,2270,3110,3300,4000,4930,5800,6510,6700,7080,7260,8270,9010,9830,10.3k,12.5k,13.5k
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,4.37,31.1,363,527,640,889,1070,1510,1870,2460,3020,3400,4220,5220,9180,10.4k,11.2k,14k,16.6k,18.3k,19.9k,20.5k,21k,21.3k,22.5k,24.8k,25.4k,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,709,835,714,720,872,1310,1930,3130,2370,3050,4120,3800,3570,2820,2320,1820,1820,1780,2130,1840,1430,2340
Tonga,,,,,,,,,,,,,,,,,,,,,,594,662,715,779,925,1110,1250,1360,1420,1530,1760,1880,1940,2710,2700,2790,2760,2940,3190,3310,3450,3910,4270,4540,4790,5630,5690,6230,6270,6800,7260,7640,7480,7530,8080,8870,10k,10.8k,12k,11.5k,10.6k,
Trinidad and Tobago,979,1030,1080,1300,1340,1360,1190,1260,1430,1450,1530,1640,1920,2320,3470,4860,5460,6530,7630,9380,12.6k,14k,16.4k,15.7k,15.2k,14.4k,13.4k,12.6k,13k,13.3k,15.7k,16.2k,16.5k,18k,20.6k,22.5k,24k,25.4k,27.2k,30.4k,35.6k,38.6k,39.6k,49.4k,59.6k,69.9k,79.8k,94.5k,120k,82k,95.3k,102k,112k,121k,123k,116k,105k,109k,106k,103k,89k,108k,120k
Tunisia,,,,,,114,117,118,128,132,144,164,194,201,266,292,312,346,383,439,520,595,670,774,854,900,889,969,1020,1110,1240,1340,1480,1530,1630,1750,1910,2300,2470,2670,2840,3040,3120,3340,3620,3820,4160,4470,4890,5180,5800,5870,6350,6700,7210,7570,7980,8430,9240,9940,9510,10.4k,11.4k
Turkey,,,,,,,,0.00425,0.00462,0.00502,0.0055,0.00663,0.00773,0.00952,0.0127,0.0162,0.0202,0.0254,0.0372,0.0636,0.117,0.172,0.223,0.289,0.446,0.697,0.992,1.42,2.4,4.17,7.12,11.2,19.1,34.1,64.7,128,241,463,1140,1680,2640,3710,5380,6940,8480,9800,11.3k,12.5k,13.9k,13.8k,15.8k,18.8k,20.9k,23.6k,26.1k,29.2k,32.1k,37.7k,44.7k,50.8k,59.3k,84.4k,174k
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,6650,4680,5260,5080,5170,5840,5900,5960,5290,5280,4540,5610,5210,6970,7500,7560,8570,9480,9240,9650,10.4k
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2k,24.5k,31.2k,40k,49k,59.9k,77.2k,99.2k,123k,150k,255k,287k,317k,338k,385k,431k,482k,533k,593k,663k,795k,891k,1M,1.18M,1.32M,1.5M,1.66M,1.82M,2.01M,2.14M,2.26M,2.36M,2.48M,2.59M,2.7M
Uganda,5.28,5.36,5.26,5.88,6.53,7,7.12,7.21,7.52,8.22,8.62,9.38,9.67,10.8,12.8,18.1,20.3,40.2,43.7,65.4,93.1,195,310,463,567,1170,2720,7730,23.5k,51.9k,76.8k,98.9k,142k,196k,215k,257k,286k,302k,335k,350k,383k,403k,415k,462k,551k,557k,617k,701k,788k,1.52M,1.65M,1.91M,1.99M,2.08M,2.23M,2.4M,2.55M,2.64M,2.82M,3M,3.09M,3.18M,3.38M
Ukraine,,,,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,0.0301,0.0329,0.0588,0.964,27.7,230,1050,1580,1820,2000,2550,3350,4120,4620,5530,7200,9260,11.4k,15.4k,20.3k,19.4k,23.5k,28.1k,31.7k,33k,36.5k,48.4k,56.5k,71.2k,85k,95.8k,103k,129k,155k
