country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10µ,30µ,0.00021,0.00303,0.0746,0.384,4.03,86.8,2090,4260,5080,5560,5740,6080,6620,7140,7970,9110,10.3k,11.3k,12.4k,14k,15.7k,16.8k,19.2k,21.5k,23.5k,26.1k,27.9k,28.7k,29.7k,31k,32.4k,34k,34.9k,40.4k,44.6k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8k,13k,13.8k,15.4k,15.3k,15.4k,14.8k,15.6k,16.2k,16.6k,17.6k,18.6k,21k,21.8k,22.4k,22.2k,22.4k,23k,24.8k,27k,29.3k,33.1k,33.3k,31.2k,32.2k,31.6k,32.1k,32.4k,32.4k,32.4k,33.1k,34.1k,34.7k,36.1k,32.8k,33.8k,38.9k
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9k,24.4k,23.7k,24.6k,23.3k,21.4k,22.4k,23.6k,24.6k,21.2k,23.8k,31k,29.5k,30.1k,32.3k,36.9k,43.3k,48.9k,49k,53.2k,40.2k,46.8k,56.5k,57.1k,54.4k,51.9k,44.3k,39.7k,41.2k,42.4k,43.1k,38.6k,42.5k,50.1k
Bhutan,,,,,,,,,,,,,,,,,,,,,1950,2180,2300,2470,3050,3290,3920,5330,6470,7510,8440,8760,10.1k,11.8k,14.4k,15.6k,17.7k,21.3k,22.7k,24.7k,32.4k,36.1k,40.3k,43.3k,46.5k,52.2k,58.6k,69.8k,75.3k,82.1k,94.6k,109k,121k,131k,147k,161k,177k,193k,200k,212k,209k,227k,
Botswana,47.6,50.4,53.2,55.8,59.6,64.5,71.1,77.2,86.6,101,122,154,203,258,304,361,422,471,576,748,840,946,1050,1170,1330,1700,2040,2380,3580,4360,5110,5870,6320,7380,7200,8440,9650,11k,12.5k,14.3k,16.1k,17.7k,16.7k,18.4k,20.2k,24.6k,28.3k,31.8k,34.7k,35k,39.5k,48.1k,49.7k,54k,60.3k,57.7k,63.9k,63.4k,63.8k,68.2k,66.2k,76.2k,91.9k
Central African Republic,16.3k,17.6k,17.4k,17.8k,19.2k,19.9k,20.5k,20.8k,23.6k,24k,25k,25.9k,26.7k,27.2k,30k,35.3k,46.4k,53.2k,58.3k,61.9k,69.9k,77.7k,98.7k,99k,109k,151k,149k,135k,139k,141k,137k,133k,124k,116k,145k,167k,150k,156k,157k,167k,171k,176k,174k,164k,161k,166k,176k,185k,197k,212k,229k,244k,270k,176k,197k,211k,223k,253k,260k,268k,265k,273k,281k
Canada,,,,,,,,,,,4260,4510,4990,5780,6800,7550,8560,9320,10.2k,11.5k,12.8k,14.3k,14.9k,16.1k,17.5k,18.8k,19.5k,21k,22.6k,23.8k,24.2k,24.2k,24.4k,25.2k,26.3k,27.4k,28.1k,29.4k,30.1k,32k,35.1k,35.9k,37.1k,38.7k,40.9k,43.2k,45.2k,47.3k,49.1k,45.9k,48k,50.7k,51.7k,53.4k,55.4k,54.9k,55.4k,57.8k,59.3k,60.8k,57.7k,65.3k,70.8k
Channel Islands,,,,,,,,,,,1020,1160,1350,1780,2140,2440,2880,3260,3890,4310,5170,5580,6100,6710,7030,7530,,,,,,,,,,,,,25.3k,26.5k,28.4k,28.9k,29.4k,29.6k,30.3k,31.1k,32.9k,35.5k,,,,,,,,,,,,,,,
Switzerland,8000,8800,9500,10.2k,11.1k,11.5k,12.3k,13k,13.8k,14.8k,,,,,,,,,,,,,,,,,,,,,,,,,,60.6k,60.9k,62.9k,64.7k,66k,69.8k,69.4k,67.8k,70.6k,72k,75.7k,79.2k,78.3k,75k,79k,84k,80.8k,81.8k,82.2k,81.2k,81.5k,80.5k,79.9k,80.3k,80.7k,78.6k,82.2k,82.1k
Chile,0.546,0.6,0.691,1.03,1.53,2.1,2.93,3.72,5.05,7.26,10.3,13.2,24.2,116,907,3390,12.1k,26.7k,44.1k,69.6k,95.6k,111k,101k,122k,143k,204k,261k,354k,456k,567k,716k,924k,1.16M,1.37M,1.61M,1.94M,2.15M,2.35M,2.46M,2.46M,2.65M,2.83M,2.97M,3.17M,3.49M,3.9M,4.46M,4.93M,5.19M,5.32M,6.09M,6.46M,7.08M,7.49M,7.99M,8.66M,9.07M,9.38M,9.71M,9.9M,9.79M,11.6M,12.7M
China,220,187,175,183,210,242,257,238,225,246,279,292,296,313,314,332,321,344,385,423,467,496,533,591,705,868,973,1120,1380,1540,1670,1920,2340,3020,4070,5010,5810,6410,6750,7130,7850,8590,9410,10.6k,12.5k,14.3k,16.7k,20.5k,24.3k,26.1k,30.7k,35.9k,39.7k,43.1k,47k,49.7k,53.5k,59.5k,65.2k,69.9k,71.3k,80.6k,84.8k
Cote d'Ivoire,36.8k,38.9k,38.5k,43.1k,50.8k,48.7k,52.1k,53k,61k,65.3k,71.6k,73.1k,75.4k,85.7k,109k,117k,151k,201k,222k,231k,246k,249k,258k,252k,288k,284k,284k,259k,251k,233k,211k,208k,202k,206k,303k,350k,388k,419k,447k,442k,412k,421k,426k,418k,421k,457k,461k,472k,516k,533k,562k,534k,601k,656k,1.03M,1.12M,1.16M,1.19M,1.24M,1.3M,1.31M,1.4M,1.5M
Cameroon,,,,,,,,32k,35.8k,39.6k,43.6k,46.5k,51k,52k,62.8k,73.6k,80.5k,82.8k,120k,144k,138k,183k,225k,267k,324k,379k,401k,371k,338k,311k,281k,266k,249k,351k,366k,390k,396k,428k,446k,466k,469k,485k,512k,548k,578k,581k,608k,614k,648k,677k,678k,699k,721k,756k,799k,816k,831k,844k,869k,882k,867k,903k,977k
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,7.92,61.4,167,204,997,26.5k,42.3k,56.6k,66.4k,72.8k,96k,112k,138k,166k,225k,282k,329k,359k,374k,400k,414k,451k,642k,854k,897k,946k,1.11M,1.21M
"Congo, Rep.",30.1k,33.7k,36k,36.3k,38k,39.5k,42.9k,45.2k,46.6k,49.9k,53.1k,60.2k,68.6k,75.9k,86.7k,97.3k,103k,105k,106k,132k,178k,273k,348k,376k,451k,441k,307k,321k,252k,279k,265k,262k,268k,236k,315k,224k,264k,337k,297k,336k,517k,443k,455k,438k,471k,724k,937k,892k,1.11M,990k,1.36M,1.45M,1.81M,1.8M,1.81M,1.38M,1.12M,1.04M,1.31M,1.19M,900k,1.21M,1.42M
Colombia,1700,1870,2040,2510,3020,3270,3860,4190,4800,5370,6200,7120,8460,10.6k,13.9k,16.9k,21.7k,28.8k,35.8k,46k,59.9k,73k,88.9k,105k,129k,161k,215k,273k,359k,446k,702k,896k,1.13M,1.47M,1.88M,2.31M,2.69M,3.19M,3.64M,3.87M,5.2M,5.53M,5.9M,6.41M,7.13M,7.8M,8.68M,9.59M,10.5M,11M,11.7M,13.1M,14M,14.9M,15.9M,16.9M,17.9M,18.7M,19.5M,20.7M,19.4M,22.7M,27.1M
Comoros,,,,,,,,,,,,,,,,,,,,,137k,158k,175k,204k,220k,234k,249k,255k,259k,261k,271k,270k,270k,278k,281k,309k,308k,316k,317k,336k,349k,380k,396k,416k,430k,435k,452k,464k,486k,496k,513k,539k,567k,591k,598k,590k,607k,619k,641k,667k,657k,659k,697k
Cape Verde,,,,,,,,,,,,,,,,,,,,,17.6k,21.2k,24.3k,28.5k,32.3k,36k,43.8k,48.8k,54.1k,58.9k,59.4k,61.5k,63.8k,101k,82.8k,90.5k,97.6k,105k,115k,134k,137k,147k,150k,163k,165k,169k,187k,258k,282k,281k,280k,297k,297k,302k,296k,304k,320k,335k,353k,380k,306k,327k,407k
Costa Rica,2100,2080,2160,2230,2280,2390,2530,2650,2850,3070,3460,3690,4070,4930,6260,7690,9240,11.5k,12.8k,14.2k,16.4k,20.5k,32.3k,44.1k,55.5k,66.3k,81.2k,90.9k,108k,128k,158k,265k,339k,391k,468k,575k,658k,777k,903k,1.01M,1.11M,1.24M,1.38M,1.57M,1.84M,2.14M,2.58M,3.05M,3.53M,3.74M,4.15M,4.47M,4.86M,5.12M,5.55M,5.9M,6.21M,6.52M,6.76M,7M,6.71M,7.27M,7.82M
Cuba,,,,,,,,,,,630,751,829,873,975,1100,1160,1200,1390,1430,1430,1670,1760,1870,2060,2030,1930,1880,1960,1970,1980,1630,1490,1500,1890,2130,2240,2260,2290,2520,2700,2800,2950,3160,3350,3740,4630,5110,5300,5360,5570,6010,6380,6730,7020,7590,7940,8420,8700,9000,,,
